name,lon,lat,zoom,geometry
Yellow river,119.173973,37.754205,11,POINT (119.173973 37.754205)
Missisipi,-89.245992,29.151004,11,POINT (-89.245992 29.151004)
Wax Lake,-91.448385,29.498476,13,POINT (-91.448385 29.498476)
Sao Fransisco,-48.713194,-26.312026,11,POINT (-48.713194 -26.312026)
Yangtze river,121.878402,31.28981,9,POINT (121.878402 31.28981)
Ganges,90.989565,22.312137,8,POINT (90.989565 22.312137)
Columbia river,-124.039699,46.247702,11,POINT (-124.039699 46.247702)
Wadden sea,5.19587,53.300644,10,POINT (5.19587 53.300644)
Dune de Pilat,-1.21736,44.586341,13,POINT (-1.21736 44.586341)
Jiangsu coast (south),121.020279,32.638839,11,POINT (121.020279 32.638839)
Albufeira,-7.869797,36.970808,12,POINT (-7.869797 36.970808)
St Michel,-1.510683,48.633302,13,POINT (-1.510683 48.633302)
Ebro Delta,0.869526,40.699556,12,POINT (0.869526 40.699556)
Senegal delta,-16.667135,13.766087,11,POINT (-16.667135 13.766087)
Amazon,-50.158433,0.318995,9,POINT (-50.158433 0.318995)
"Pearl (Zhujiang River estuary),",113.636915,22.755011,12,POINT (113.636915 22.755011)
Severn estuary,-2.680262,51.595222,11,POINT (-2.680262 51.595222)
Mekong river,106.762698,10.179805,11,POINT (106.762698 10.179805)
Jiangsu coast (north),119.829333,34.471656,12,POINT (119.829333 34.471656)
Redfish pass,-82.200681,26.553486,12,POINT (-82.200681 26.553486)
Willapa bay,-124.071405,46.68202,12,POINT (-124.071405 46.68202)
Hangzou bay,121.754241,30.488979,9,POINT (121.754241 30.488979)
